circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
20,2017,8354,17797,43,5,124,0.877
1,2017,12344,27357,45,4,119,0.843
2,2017,4887,11329,44,1,105,0.885
3,2017,2503,5771,9,0,24,0.845
4,2017,8370,18605,12,15,103,0.932
5,2017,10629,22623,31,4,110,0.888
6,2017,17684,30754,36,5,124,0.955
7,2017,9346,19400,20,8,90,0.934
8,2017,4022,8451,15,4,36,0.904
9,2017,14012,29440,79,2,113,0.812
19,2017,5450,14429,9,1,54,0.903
11,2017,13674,27994,88,45,131,0.848
12,2017,6347,14383,21,8,84,0.905
13,2017,12543,27378,23,4,81,0.975
14,2017,6890,13946,14,2,64,0.88
15,2017,8194,18300,43,2,117,0.937
16,2017,1049,3222,0,1,2,0.961
17,2017,11666,23981,57,36,74,0.87
18,2017,9230,21613,24,11,74,0.9329999999999999
10,2017,10225,30394,37,0,155,0.915
7,2018,9471,20246,15,2,64,0.898
6,2018,18031,31393,35,5,117,0.953
5,2018,10588,22417,33,6,116,0.884
1,2018,12029,27229,36,1,121,0.843
2,2018,4953,11333,41,0,95,0.845
8,2018,3850,8549,13,13,38,0.9059999999999999
3,2018,2534,5371,3,0,18,0.8420000000000001
9,2018,12690,27169,57,9,91,0.826
4,2018,8644,19589,8,11,100,0.9309999999999999
10,2018,10337,27801,45,1,151,0.89
11,2018,14005,29080,91,53,120,0.902
19,2018,5833,15030,8,2,47,0.8759999999999999
18,2018,8628,19736,29,8,49,0.924
17,2018,12031,23333,63,9,72,0.8270000000000001
20,2018,8629,18746,38,37,104,0.862
15,2018,7813,18989,35,0,117,0.941
14,2018,7004,14811,15,2,46,0.898
13,2018,12688,29370,35,9,68,0.877
12,2018,6771,15248,16,15,83,0.9059999999999999
16,2018,1112,2881,1,0,4,0.9520000000000001
9,2019,12200,25360,45,4,71,0.772
2,2019,4392,9555,19,0,65,0.841
3,2019,2292,5028,4,0,15,0.84
4,2019,7790,18612,5,8,48,0.914
5,2019,10723,23700,27,5,71,0.883
6,2019,15512,26557,24,10,99,0.856
7,2019,8907,18620,11,8,23,0.9
8,2019,3706,8095,10,5,22,0.889
10,2019,9324,28463,36,0,100,0.861
1,2019,11098,25399,13,6,56,0.764
12,2019,6698,15190,9,3,64,0.922
13,2019,11074,24740,27,5,55,0.825
14,2019,6398,12578,10,0,43,0.895
16,2019,877,2209,0,0,0,0.981
17,2019,9294,18184,34,4,47,0.804
18,2019,6868,14930,15,13,44,0.909
19,2019,4941,12537,13,1,42,0.871
20,2019,7278,16298,36,38,91,0.835
11,2019,11686,23630,57,24,97,0.903
15,2019,7142,15962,16,0,51,0.9329999999999999
20,2020,6944,16154,12,6,18,0.841
18,2020,7243,15050,8,5,32,0.9009999999999999
1,2020,10460,24266,14,2,38,0.78
2,2020,3953,8691,11,0,13,0.799
3,2020,2279,4802,4,0,19,0.8009999999999999
4,2020,7475,18227,3,7,22,0.912
19,2020,5281,12983,7,6,14,0.884
6,2020,13646,24939,8,1,27,0.946
7,2020,8498,18545,4,3,9,0.914
8,2020,3786,8299,13,5,32,0.8909999999999999
5,2020,10420,23429,9,1,37,0.87
10,2020,8785,30202,16,0,46,0.846
11,2020,10966,21635,6,7,23,0.868
12,2020,5504,12591,8,2,24,0.9179999999999999
13,2020,10229,23442,27,4,76,0.8320000000000001
14,2020,6425,12709,7,1,18,0.897
15,2020,7035,14715,7,1,19,0.945
16,2020,829,2075,0,0,1,0.982
17,2020,8330,16518,0,8,0,0.69
9,2020,10729,21066,27,5,30,0.7140000000000001
8,2021,4330,9391,16,3,46,0.89
7,2021,9033,19529,11,6,17,0.943
6,2021,13321,24045,30,4,67,0.9570000000000001
1,2021,9718,21769,35,6,85,0.7909999999999999
4,2021,7736,18765,9,8,68,0.905
3,2021,2332,4606,7,1,15,0.812
2,2021,4318,10021,22,0,71,0.868
5,2021,10540,23503,27,2,96,0.8759999999999999
10,2021,9282,31291,40,1,106,0.878
9,2021,10531,19203,37,0,70,0.679
12,2021,5428,12721,12,2,56,0.9079999999999999
13,2021,10483,24471,19,3,54,0.8490000000000001
14,2021,6254,12732,12,2,53,0.9009999999999999
15,2021,5957,13406,16,2,65,0.946
16,2021,1105,2523,2,1,2,0.82
17,2021,7992,15882,34,2,37,0.79
18,2021,6765,14326,13,3,19,0.917
19,2021,4735,11504,30,3,77,0.878
20,2021,7081,15874,26,1,95,0.8340000000000001
11,2021,12291,23999,57,21,89,0.8809999999999999
8,2022,4272,9555,16,8,44,0.8909999999999999
7,2022,9281,21133,16,9,16,0.9620000000000001
6,2022,13528,23945,17,7,99,0.9620000000000001
2,2022,4014,8591,33,2,79,0.863
4,2022,8760,21399,18,10,106,0.898
3,2022,2390,4704,10,0,32,0.759
9,2022,10421,18550,47,4,94,0.6859999999999999
5,2022,10801,25111,26,1,120,0.875
10,2022,9020,31380,70,4,142,0.8859999999999999
15,2022,6678,14155,19,2,80,0.946
12,2022,6136,14139,12,6,70,0.9179999999999999
13,2022,12226,29882,24,3,92,0.858
14,2022,6101,12406,16,1,62,0.894
16,2022,1121,2723,3,0,3,0.6779999999999999
17,2022,8470,16305,32,1,56,0.807
18,2022,7511,15884,13,4,24,0.9079999999999999
19,2022,5230,12914,30,3,82,0.867
20,2022,7637,17799,33,1,102,0.843
11,2022,12726,24823,68,24,129,0.885
1,2022,9684,22481,34,8,102,0.8029999999999999
