circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
1,2016,"11,638","25,335",33,6,115,0.015
2,2016,"4,461","9,891",52,0,128,0.0279999999999999
3,2016,"2,760","6,175",1,3,30,0.0139999999999999
4,2016,"8,020","17,238",16,12,137,0.019
5,2016,"9,534","19,974",27,9,80,0.013
6,2016,"16,604","27,588",36,6,145,0.012
7,2016,"9,182","17,701",11,3,91,0.011
8,2016,"3,959","8,127",13,9,42,0.017
9,2016,"12,435","27,494",80,5,114,0.016
10,2016,"10,106","30,115",59,2,189,0.026
11,2016,"13,155","27,967",99,51,126,0.019
12,2016,"6,086","13,933",11,12,101,0.019
13,2016,"12,958","28,218",34,9,99,0.011
14,2016,"6,115","12,626",15,3,41,0.01
15,2016,"8,740","19,385",39,3,140,0.02
16,2016,"1,170","2,851",4,2,10,0.022
17,2016,"12,524","26,891",52,11,72,0.012
18,2016,"8,989","19,979",32,17,76,0.015
19,2016,"5,318","14,137",29,2,82,0.021
20,2016,"7,586","15,272",26,9,83,0.0139999999999999
