circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
1,2014,"10,535","22,154",39,13,111,0.016
2,2014,"4,584","10,588",33,5,96,0.0289999999999999
3,2014,"2,422","5,286",6,1,17,0.011
4,2014,"9,037","18,007",20,12,159,0.019
5,2014,"8,815","18,308",31,9,59,0.011
6,2014,"15,659","27,154",43,0,155,0.013
7,2014,"8,101","14,625",17,11,102,0.015
8,2014,"3,900","8,346",8,10,50,0.017
9,2014,"14,209","31,861",125,7,166,0.023
10,2014,"8,803","24,580",71,2,227,0.035
11,2014,"14,694","31,726",79,60,150,0.017
12,2014,"6,638","14,044",27,9,87,0.018
13,2014,"12,886","28,132",55,25,179,0.019
14,2014,"5,439","10,431",8,1,33,0.009
15,2014,"8,158","16,915",43,33,94,0.02
16,2014,"1,193","2,588",3,0,8,0.012
17,2014,"14,096","29,369",89,6,126,0.016
18,2014,"8,360","18,662",22,18,86,0.015
19,2014,"5,520","14,849",37,1,120,0.0279999999999999
20,2014,"8,365","17,717",31,2,118,0.018
