circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
1,2013,"11,362","23,261",35,8,96,0.012
2,2013,"4,459","10,793",54,2,133,0.0409999999999999
3,2013,"2,270","4,938",6,0,19,0.0139999999999999
4,2013,"9,956","20,245",28,16,176,0.02
5,2013,"9,508","20,054",39,2,57,0.011
6,2013,"14,776","24,831",52,8,166,0.015
7,2013,"8,421","15,195",23,8,97,0.0139999999999999
8,2013,"4,373","9,408",16,13,58,0.022
9,2013,"13,891","31,707",105,4,203,0.023
10,2013,"8,744","24,007",97,1,209,0.034
11,2013,"16,979","35,642",82,47,180,0.017
12,2013,"6,290","12,641",18,4,84,0.017
13,2013,"11,991","26,403",57,33,222,0.023
14,2013,"4,839","9,245",5,4,28,0.0069999999999999
15,2013,"8,718","17,441",42,24,118,0.022
16,2013,"1,883","3,845",3,3,5,0.01
17,2013,"14,849","31,599",109,30,117,0.016
18,2013,"9,079","20,575",21,23,68,0.0139999999999999
19,2013,"5,879","15,119",22,4,99,0.022
20,2013,"8,501","19,007",38,12,111,0.019
